OPS,DW,MRS,DMC,DMR,ME,MODULARITY,PORTABILITY,REUSABILITY,TESTABILITY,CONVERTIBILITY,FLEXIBILITY,CONFORMITY,MAINTAINABILITY,WAPQ
0.035714,0.000146,0.037618,0,0.428571,0,0.441441,1,1,0.700337,0.121429,0.899749,0.299296,0.110638,0.799447
0.017857,0.00757,0.018809,0.166667,0.714286,0.452129,0.963964,1,1,0.979798,1,0.441103,0.080986,0.697872,0.93361
0.053571,0.003785,0.065831,0.166667,0.285714,0.470599,0.315315,1,1,0.754209,1,0.639098,0.383803,0.434043,0.926694
0.410714,0.011355,0.155172,0.25,0.142857,0.534049,0.207207,1,1,0.808081,1,0.58396,0.401408,0.446809,0.925311
0,0.000146,0.037618,0,0.428571,0,0.792793,1,0.932895,0.835017,0.992857,0.538847,0.383803,0.468085,0.925311
0.035714,0.00262,0.075235,0.083333,0.238095,0.301419,0.432432,1,1,0.740741,0.165476,0.383459,0.542254,0.225532,0.788382
0.571429,0.015723,0.085494,0.75,0.376623,0.90882,0.441441,1,1,0.905724,1,0.54386,0.080986,0.408511,0.914246
0.089286,0.021692,0.075235,0.416667,0.428571,0.688489,0.279279,1,1,0.606061,1,0.877193,0.93662,0.565957,0.968188
0.160714,0.016596,0.142947,0.5,0.257143,0.712514,0.540541,1,1,0.801347,0,0.383459,0.489437,0.217021,0.767635
0.017857,0.005095,0.018809,0.166667,0.714286,0.452129,0.621622,0.818182,1,0.286195,1,0.839599,0.75,0.408511,0.921162
0.017857,0.001165,0,0.25,1,0.602838,0.54955,1,1,0.616162,1,0.679198,0.429577,0.310638,0.923928
0.053571,0.001893,0.263323,0,0,0,0.36036,1,1,0.922559,0,0.634085,0.380282,0.217021,0.781466
0,0,0,0.083333,1,0.301419,0.72973,0.979021,0.932895,0.781145,0.95119,0.929825,0.447183,0.468085,0.943292
0.017857,0.000437,0.037618,0.083333,0.428571,0.301419,0.54955,1,1,0.824916,0.982143,0.739348,0.387324,0.455319,0.940526
0.357143,0.003057,0.274071,0.083333,0.020408,0.260161,0.27027,1,1,0.872054,1,0.62406,0.528169,0.476596,0.940526
0.196429,0.005823,0.037618,0.333333,0.571429,0.649751,0.468468,1,1,0.73064,1,0.614035,0.228873,0.502128,0.922545
0.142857,0.001165,0.050157,0.166667,0.428571,0.439815,0.756757,1,1,0.734007,0.177381,0.766917,0.651408,0.395745,0.835408
0.142857,0.001165,0.050157,0.166667,0.428571,0.439815,0.216216,1,1,0.774411,1,0.47619,0.669014,0.459574,0.929461
0.357143,0.008153,0.139722,0.25,0.183673,0.536022,0.369369,1,1,0.683502,1,0.58396,0.073944,0.374468,0.903181
0.035714,0.014121,0.037618,0.25,0.619048,0.540288,0.369369,1,1,0.683502,1,0.58396,0.073944,0.374468,0.903181
0.053571,0.003348,0.028213,0.416667,0.714286,0.725106,0.540541,1,1,0.956229,1,0.448622,0.626761,0.553191,0
0.089286,0.021692,0.075235,0.416667,0.428571,0.688489,0.702703,1,1,0.925926,1,0.81203,0.915493,0.72766,0.993084
0.035714,0.005532,0.012539,0.333333,0.809524,0.678684,0.504505,1,1,0.861953,1,0.498747,0.077465,0.4,0.910097
0.017857,0.00131,0,0.25,1,0.602838,0.279279,1,1,0.606061,1,0.877193,0.93662,0.565957,0
0.035714,0.002329,0.050157,0.166667,0.428571,0.439815,0.585586,0.846154,1,0.3367,1,0.779449,0.704225,0.404255,0.919779
0.071429,0.002912,0.050157,0.166667,0.428571,0.439815,0.576577,1,1,0.632997,1,0.686717,0.454225,0.32766,0.928077
0.017857,0.002329,0,0.083333,1,0.301419,0.522523,1,1,0.713805,1,0.556391,0.320423,0.451064,0.921162
0.035714,0.005532,0.012539,0.333333,0.809524,0.678684,0.675676,1,1,0.683502,1,0.378446,0.623239,0.421277,0.923928
0.017857,0.00131,0,0.25,1,0.602838,0.558559,1,1,0.680135,0,0.899749,0.827465,0.331915,0.818811
