serv no,wmc,dit,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,amc
8,0.09503,0.290927,0.029708,0.123624,0.135325,0,0.028838,0.073496,0.787514,0.187369,0,0,0,0.25236,0.084847
36,0.409779,0.236416,0.120622,0.355486,0.449077,0,0.098147,0.419867,0.606873,0.364432,0,0,0,0.231317,0.083209
37,0.095722,0.144945,0.234338,0.127283,0.252723,0.296838,0.31508,0.08546,0.806008,0.155788,0,0,0,0.278231,0.074331
42,0.113132,0.090697,0.304744,0.167806,0.439824,0.417812,0.444246,0.104378,0.541581,0.142609,0,0,0,0.153157,0.051309
57,0.107039,0.290927,0.029708,0.132954,0.176341,0,0.028838,0.078972,0.736873,0.231825,0,0,0,0.324512,0.100948
58,0.049188,0.181228,0.157565,0.071563,0.144325,0.347739,0.225053,0.038815,0.638669,0.103346,0,0,0,0.471197,0.078119
70,0.117612,0.060388,0.400459,0.16455,0.383013,0.239469,0.546041,0.114172,0.394089,0.138076,0,0,0,0.285354,0.030324
85,0.187263,0.140096,0.254784,0.174437,0.315758,0.323713,0.393442,0.190656,0.440895,0.15415,0.073558,0.260211855,0.537066,0.759396,0.137695
86,0.088369,0.248404,0.232653,0.105303,0.259656,0.455053,0.415416,0.094224,0.389263,0.114525,0.164271,0.400780898,0.423157,0.430969,0.285829
87,0.113067,0.181228,0.108351,0.091089,0.257906,0.328678,0.192903,0.110541,0.439585,0.109832,0,0,0,0.67608,0.058753
88,0.057815,0.376596,0.084636,0.071188,0.09226,0.140592,0.122284,0.046704,0.59143,0.15369,0.37072,0.257228513,0.493252,0.488767,0.238527
107,0.056424,0.167548,0.263213,0.094417,0.240356,0,0.175328,0.0446,1,0.133131,0,0,0,0.171231,0.064352
108,0.150649,0.290927,0.029708,0.166633,0.13937,0,0.028838,0.11869,0.421909,0.289253,0,0,0,0.324595,0.109858
110,0.119362,0.236416,0.120622,0.137295,0.157162,0,0.098147,0.094646,0.527758,0.258222,0,0,0,0.28349,0.09652
117,0.142823,0.112623,0.404573,0.192952,0.370466,0,0.228236,0.129161,0.929883,0.202305,0,0,0,0.248304,0.050674
118,0.108772,0.144945,0.215392,0.116294,0.268298,0.169572,0.269302,0.104614,0.485176,0.129191,0,0,0,0.426616,0.069984
137,0.188003,0.068513,0.351905,0.185056,0.335285,0.161739,0.496458,0.187202,0.246406,0.169057,0,0.036249671,0,0.778316,0.065123
139,0.197071,0.121313,0.603003,0.25774,0.636251,0.293487,0.786766,0.200465,0.541149,0.165052,0.039431,0.132271273,0.423157,0.373884,0.098809
142,0.089867,0.307552,0.148371,0.115292,0.149961,0.047544,0.194471,0.073226,0.666173,0.187359,0.166969,0.192744757,0.537066,0.413536,0.188472
144,0.089867,0.307552,0.148371,0.115292,0.149961,0.047544,0.194471,0.073226,0.666173,0.187359,0.166969,0.192744757,0.537066,0.413536,0.188472
151,0.081871,0.112623,0.404573,0.089354,0.161585,0,0.228236,0.080447,0.40769,0.080156,0,0,0,0.123991,0.044054
155,0.20149,0.167548,0.13658,0.161418,0.353251,0.321826,0.223703,0.205578,0.610577,0.183934,0,0,0,0.317776,0.061597
156,0.073525,0.167548,0.263213,0.074578,0.128794,0,0.175328,0.070328,0.608548,0.104591,0,0,0,0.4168,0.064555
162,0.187263,0.140096,0.254784,0.174437,0.315758,0.323713,0.393442,0.190656,0.440895,0.15415,0.073558,0.260211855,0.537066,0.759396,0.137695
163,0.125194,0.155548,0.16333,0.110886,0.257691,0.313379,0.252518,0.122339,0.50984,0.13106,0,0,0,0.663389,0.065997
164,0.059133,0.376596,0.084636,0.067708,0.087766,0.140592,0.122284,0.051276,0.572598,0.145479,0.37072,0.257228513,0.493252,0.576837,0.238096
186,0.049044,0.196946,0.198797,0.056462,0.112334,0,0.144121,0.043128,0.665814,0.095414,0,0,0,0.194117,0.071755
191,0.067518,0.181228,0.177628,0.076926,0.131942,0.139603,0.227028,0.061243,0.463443,0.091898,0,0,0,0.282177,0.075069
193,0.084512,0.215153,0.106848,0.079336,0.105278,0.15053,0.155993,0.081372,0.367641,0.089404,0,0,0,0.600717,0.076395
211,0.125194,0.155548,0.16333,0.110886,0.257691,0.313379,0.252518,0.122339,0.50984,0.13106,0,0,0,0.663389,0.065997
212,0.059133,0.376596,0.084636,0.067708,0.087766,0.140592,0.122284,0.051276,0.572598,0.145479,0.37072,0.257228513,0.493252,0.576837,0.238096
759,0.22641,0.02854,0.757813,0.273815,0.547042,0,0.302227,0.22611,0.562168,0.204496,0,0,0,0.069582,0.017166
800,0.099073,0.100698,0.440697,0.113305,0.21268,0,0.239037,0.098019,0.671557,0.103492,0,0,0,0.111219,0.041343
801,0.103075,0.215153,0.115279,0.095871,0.259006,0.163024,0.159255,0.098031,0.826066,0.149236,0,0,0,0.424948,0.078593
865,0.160452,0.150087,0.380918,0.213559,0.479429,0.290589,0.511291,0.153532,0.788711,0.330027,0.178438,1.002665619,0.537066,0.377008,0.484949
881,0.0806,0.112623,0.404573,0.108518,0.227927,0,0.228236,0.077287,0.727566,0.100965,0,0,0,0.123646,0.045786
885,0.24161,0.055733,0.364223,0.288028,0.592143,0.194066,0.539807,0.231834,0.586534,0.226597,0,0,0,0.233231,0.080714
886,0.101502,0.106387,0.289384,0.149623,0.406741,0.171786,0.35488,0.089829,0.509767,0.120614,0,0,0,0.241163,0.070628
887,0.136641,0.261423,0.05317,0.143958,0.146594,0.188656,0.073245,0.107354,0.406428,0.241532,0,0,0,0.28251,0.093696
888,0.156676,0.08628,0.303902,0.203028,0.480084,0.188656,0.413118,0.145045,0.650531,0.165127,0,0,0,0.22697,0.076442
889,0.136641,0.261423,0.05317,0.143958,0.146594,0.188656,0.073245,0.107354,0.406428,0.241532,0,0,0,0.28251,0.093696
907,0.28536,0.010904,0.47578,0.317302,0.584855,0.259836,0.730822,0.284372,0.119988,0.273871,0,0.137488341,0,0.60922,0.05046
912,0.304458,0.08628,0.289004,0.268824,0.538977,0.231953,0.433911,0.306713,0.517387,0.280033,0,0,0,0.522974,0.05858
923,0.09503,0.290927,0.029708,0.123624,0.135325,0,0.028838,0.073496,0.787514,0.187369,0,0,0,0.25236,0.084847
924,0.194824,0.071587,0.412886,0.236243,0.381501,0.683017,0.539134,0.187847,0.738843,0.211562,0,0,0,0.336643,0.048664
925,0.09503,0.290927,0.029708,0.123624,0.135325,0,0.028838,0.073496,0.787514,0.187369,0,0,0,0.25236,0.084847
926,0.051456,0.236416,0.120622,0.081891,0.122521,0,0.098147,0.035803,0.629093,0.127961,0,0,0,0.186363,0.080515
934,0.09503,0.290927,0.029708,0.123624,0.135325,0,0.028838,0.073496,0.787514,0.187369,0,0,0,0.25236,0.084847
941,0.193891,0.196946,0.110396,0.140599,0.248779,0.146289,0.194471,0.201488,0.28764,0.14106,0,0,0,0.820438,0.07143
942,0.243803,0.042886,0.408511,0.240697,0.404841,0.341784,0.611777,0.243536,0.167964,0.213358,0,0.03326892,0,0.675766,0.057222
951,0.203463,0.254779,0.250941,0.191112,0.385513,0.204312,0.413347,0.21252,0.413824,0.191071,0.141081,0.177850149,0.423157,0.7769,0.170041
987,0.074518,0.196946,0.198797,0.104351,0.191116,0,0.144121,0.058208,0.918941,0.177866,0,0,0,0.205772,0.077382
1050,0.187263,0.140096,0.254784,0.174437,0.315758,0.323713,0.393442,0.190656,0.440895,0.15415,0.073558,0.260211855,0.537066,0.759396,0.137695
1051,0.088369,0.248404,0.232653,0.105303,0.259656,0.455053,0.415416,0.094224,0.389263,0.114525,0.164271,0.400780898,0.423157,0.430969,0.285829
1052,0.113067,0.181228,0.108351,0.091089,0.257906,0.328678,0.192903,0.110541,0.439585,0.109832,0,0,0,0.67608,0.058753
1053,0.057815,0.376596,0.084636,0.071188,0.09226,0.140592,0.122284,0.046704,0.59143,0.15369,0.37072,0.257228513,0.493252,0.488767,0.238527
1116,0.095304,0.201244,0.417274,0.13905,0.42142,0.160598,0.566973,0.098739,0.275695,0.134416,0.168189,0.534652733,0.423157,0.319155,0.294162
1117,0.053018,0.196946,0.103831,0.065851,0.12004,0.193138,0.160346,0.045833,0.673919,0.101407,0,0,0,0.33215,0.071876
1118,0.120335,0.127079,0.220287,0.112158,0.302112,0.172316,0.329029,0.119372,0.426438,0.105161,0,0,0,0.432314,0.071874
1119,0.092735,0.261423,0.05317,0.103633,0.123002,0.188656,0.073245,0.071326,0.512157,0.172335,0,0,0,0.470259,0.084847
1147,0.057696,0.236416,0.058537,0.07769,0.064867,0.18968,0.057676,0.04436,0.582173,0.129207,0,0,0,0.356443,0.083841
1162,0.323828,0.004765,0.674664,0.351538,0.609948,0.308799,0.950038,0.3235,0.249826,0.279291,0,0.111052901,0,0.350534,0.051681
